Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
n2,7727-37-9,dimethyl ether,115-10-6,0.054,15,0.946,74.4,N#N,COC,51.601315,378,1,2
h2,1333-74-0,DMF,68-12-2,0.0119,50,0.9881,66.30000000000001,[HH],CN(C)C=O,69.57584,148,1,2
n2,7727-37-9,n-propionaldehyde,123-38-6,0.025,20,0.975,50.0,N#N,CCC=O,48.196396,464,1,2
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0071,30,0.9929,13.501,N#N,CCC=O,10.938137,474,1,2
n2,7727-37-9,phenol,108-95-2,0.0068,55,0.9932,50.2,N#N,C1=CC=C(C=C1)O,30.65661,478,1,2
n2,7727-37-9,n-butyl acetate,123-86-4,0.0237,30,0.9763,29.184,N#N,CCCCOC(=O)C,34.175514,450,1,2
h2,1333-74-0,acetonitrile,75-05-8,0.0028,25,0.9972,15.94,[HH],CC#N,4.2049103,39,1,2
h2,1333-74-0,chlorobenzene,108-90-7,0.0174,55,0.9826,56.7,[HH],C1=CC=C(C=C1)Cl,64.72442,91,1,2
h2,1333-74-0,benzene,71-43-2,0.0027,30,0.9973,9.89,[HH],C1=CC=CC=C1,7.6848145,64,1,2
n2,7727-37-9,benzene,71-43-2,0.0119,30,0.9881,26.86,N#N,C1=CC=CC=C1,24.918102,369,1,2
h2,1333-74-0,n-propionaldehyde,123-38-6,0.069,39,0.931,175.0,[HH],CCC=O,140.4069,202,1,2
h2,1333-74-0,n-butanol,71-36-3,0.006,18,0.994,21.5,[HH],CCCCO,10.055096,171,1,2
h2,1333-74-0,toluene,108-88-3,0.0299,25,0.9701,96.3,[HH],CC1=CC=CC=C1,75.14258,221,1,2
h2,1333-74-0,DMF,68-12-2,0.0121,50,0.9879,69.9,[HH],CN(C)C=O,70.242004,149,1,2
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0074,50,0.9926,17.07,[HH],COCCOC,27.572977,4,1,2
n2,7727-37-9,acetone,67-64-1,0.045,50,0.955,81.5,N#N,CC(=O)C,94.37276,352,1,2
h2,1333-74-0,cyclohexane,110-82-7,0.0197,30,0.9803,47.43000000000001,[HH],C1CCCCC1,43.94563,108,1,2
n2,7727-37-9,n-propionaldehyde,123-38-6,0.013,20,0.987,25.0,N#N,CCC=O,17.964691,463,1,2
n2,7727-37-9,benzene,71-43-2,0.0144,40,0.9856,30.92,N#N,C1=CC=CC=C1,37.612724,376,1,2
n2,7727-37-9,acetone,67-64-1,0.06,50,0.94,111.4,N#N,CC(=O)C,119.11592,355,1,2
h2,1333-74-0,acetone,67-64-1,0.0337,50,0.9663,99.6,[HH],CC(=O)C,95.23142,38,1,2
n2,7727-37-9,dimethyl ether,115-10-6,0.022,45,0.978,28.3,N#N,COC,23.215702,403,1,2
methane,74-82-8,ethanol,64-17-5,0.027,40,0.973,23.9,C,CCO,36.14248,285,1,2
h2,1333-74-0,toluene,108-88-3,0.0214,25,0.9786,70.10000000000001,[HH],CC1=CC=CC=C1,55.002922,219,1,2
n2,7727-37-9,1-propanol,71-23-8,0.0209,25,0.9791,51.648,N#N,CCCO,49.72199,338,1,2
n2,7727-37-9,acetone,67-64-1,0.024,30,0.976,46.4,N#N,CC(=O)C,50.087692,343,1,2
n2,7727-37-9,1-propanol,71-23-8,0.0157,25,0.9843,39.068,N#N,CCCO,35.496323,337,1,2
methane,74-82-8,n-butanol,71-36-3,0.039,30,0.961,21.0,C,CCCCO,23.678871,293,1,2
h2,1333-74-0,acetonitrile,75-05-8,0.0156,50,0.9844,76.1,[HH],CC#N,72.07928,50,1,2
h2,1333-74-0,n-propionaldehyde,123-38-6,0.02,39,0.98,50.0,[HH],CCC=O,54.633778,197,1,2
methane,74-82-8,acetone,67-64-1,0.0509,50,0.9491,30.7,C,CC(=O)C,42.97853,266,1,2
h2,1333-74-0,acetonitrile,75-05-8,0.0079,50,0.9921,38.3,[HH],CC#N,35.63293,48,1,2
h2,1333-74-0,methyl formate,107-31-3,0.0061,18,0.9939,45.8,[HH],COC=O,15.855171,168,1,2
h2,1333-74-0,chlorobenzene,108-90-7,0.0044,55,0.9956,13.2,[HH],C1=CC=C(C=C1)Cl,23.503616,84,1,2
methane,74-82-8,acetone,67-64-1,0.0911,25,0.9089,45.1,C,CC(=O)C,49.68248,260,1,2
h2,1333-74-0,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0135,25,0.9865,68.30000000000001,[HH],COCCOCCOCCO,66.63692,18,1,2
methane,74-82-8,n-butanol,71-36-3,0.02,50,0.98,10.5,C,CCCCO,16.251781,298,1,2
n2,7727-37-9,acetone,67-64-1,0.013,50,0.987,23.5,N#N,CC(=O)C,32.19395,349,1,2
n2,7727-37-9,acetonitrile,75-05-8,0.0029,31,0.9971,9.1389,N#N,CC#N,9.692589,358,1,2
methane,74-82-8,2-2-(2-methoxyethoxy)ethoxyethanol,112-35-6,0.0062,40,0.9938,61.83,C,COCCOCCOCCO,32.84288,239,1,2
n2,7727-37-9,dimethyl ether,115-10-6,0.0255,35,0.9745,30.7,N#N,COC,25.036156,393,1,2
h2,1333-74-0,toluene,108-88-3,0.0303,25,0.9697,101.2,[HH],CC1=CC=CC=C1,76.02667,222,1,2
h2,1333-74-0,chlorobenzene,108-90-7,0.0074,23,0.9926,28.8,[HH],C1=CC=C(C=C1)Cl,23.325565,76,1,2
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0553,25,0.9447,134.5,C,C1COCCN1C=O,101.89117,249,1,2
methane,74-82-8,toluene,108-88-3,0.073,20,0.927,32.64,C,CC1=CC=CC=C1,33.609375,318,1,2
n2,7727-37-9,n-butyl acetate,123-86-4,0.0112,30,0.9888,13.517,N#N,CCCCOC(=O)C,15.9659195,448,1,2
n2,7727-37-9,ethanol,64-17-5,0.0005,25,0.9995,1.623,N#N,CCO,4.17292,413,1,2
n2,7727-37-9,dimethyl ether,115-10-6,0.0196,25,0.9804,23.4,N#N,COC,18.206242,382,1,2
methane,74-82-8,n-butanol,71-36-3,0.056,30,0.944,31.2,C,CCCCO,32.516624,294,1,2
n2,7727-37-9,n-propionaldehyde,123-38-6,0.002,30,0.998,4.1685,N#N,CCC=O,5.5069313,472,1,2
n2,7727-37-9,dimethyl ether,115-10-6,0.0121,45,0.9879,20.9,N#N,COC,15.119572,402,1,2
h2,1333-74-0,cyclohexane,110-82-7,0.0086,30,0.9914,20.9,[HH],C1CCCCC1,20.618675,102,1,2
n2,7727-37-9,dimethyl ether,115-10-6,0.1178,25,0.8822,102.4,N#N,COC,108.45542,390,1,2
h2,1333-74-0,1-4-dioxane,123-91-1,0.013,50,0.987,57.1,[HH],C1COCCO1,61.16661,14,1,2
n2,7727-37-9,acetonitrile,75-05-8,0.0014,31,0.9986,4.4944,N#N,CC#N,3.2655983,357,1,2
methane,74-82-8,cyclohexane,108-95-2,0.075,20,0.925,21.2,C,C1=CC=C(C=C1)O,41.579994,273,1,2
methane,74-82-8,4-formylmorpholine,4394-85-8,0.0018,40,0.9982,2.95,C,C1COCCN1C=O,11.92482,250,1,2
h2,1333-74-0,toluene,108-88-3,0.01,30,0.99,30.18,[HH],CC1=CC=CC=C1,25.870853,227,1,2
h2,1333-74-0,acetonitrile,75-05-8,0.0205,50,0.9795,100.5,[HH],CC#N,90.64114,52,1,2
